Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
  205.20 12 03 22.20  879.00   22.53   14.75   61.46   -1.90   -2.75    3.34   34.97    2.44     1250  120.381446   23.182636  1272.90 
  208.88 12 03 25.87  878.00   22.53   14.31   59.74    0.13   -2.24    2.24  357.09    3.17     1260  120.381421   23.182581  1282.27 
  212.89 12 03 29.89  877.00   22.50   14.04   58.81   -0.93   -0.96    1.34   44.51    2.00     1269  120.381391   23.182551  1291.20 
  216.57 12 03 33.57  876.00   22.49   13.96   58.54   -2.05   -1.36    2.68   78.12    2.52     1279  120.381359   23.182519  1300.40 
  220.41 12 03 37.40  875.00   22.50   13.69   57.48   -2.85   -1.70    3.46   57.76    2.50     1289  120.381308   23.182496  1311.10 
  223.98 12 03 40.97  874.00   22.50   13.37   56.31   -3.96    0.94    4.07  103.27    2.95     1299  120.381261   23.182500  1321.15 
  227.77 12 03 44.76  873.00   22.56   13.04   54.89   -2.19    0.11    2.22   88.05    3.29     1309  120.381202   23.182510  1330.66 
  231.38 12 03 48.37  872.00   22.60   12.78   53.86   -0.65    0.39    0.76  121.38    3.11     1319  120.381140   23.182544  1340.57 
  235.00 12 03 52.00  871.00   22.62   12.67   53.40   -0.69    0.66    0.96  133.64    4.45     1329  120.381080   23.182590  1349.51 
  239.52 12 03 56.51  870.00   22.69   12.57   52.85   -0.44    0.36    0.57  129.52    2.30     1339  120.381000   23.182630  1360.28 
  244.47 12 04 01.47  869.00   22.75   12.24   51.51   -2.03    0.81    2.32  114.10    2.44     1350  120.380941   23.182680  1369.77 
  249.20 12 04 06.19  868.00   22.78   11.61   49.30   -1.18    1.20    1.70  134.52    2.28     1360  120.380878   23.182724  1381.77 
  253.48 12 04 10.47  867.00   22.87   11.10   47.41   -0.71    0.75    1.26  117.27    2.65     1370  120.380840   23.182755  1391.81 
  257.75 12 04 14.75  866.00   22.95   10.73   46.05   -1.68    1.58    2.31  133.76    2.54     1380  120.380805   23.182795  1402.04 
  262.16 12 04 19.15  865.00   23.04   10.04   43.74   -1.26    0.15    1.35   89.86    2.20     1391  120.380768   23.182822  1412.59 
  266.62 12 04 23.62  864.00   23.14    9.66   42.38   -1.65    0.97    1.95  121.15    1.88     1401  120.380728   23.182846  1423.04 
  271.08 12 04 28.07  863.00   23.24    9.94   42.92   -2.50    3.23    4.08  142.22    2.31     1412  120.380699   23.182881  1432.43 
  275.50 12 04 32.50  862.00   23.33   10.22   43.50   -0.47    0.71    0.85  144.63    2.47     1422  120.380670   23.182915  1442.54 
  279.59 12 04 36.59  861.00   23.40   10.53   44.24   -0.48    2.77    2.87  162.57    2.83     1433  120.380650   23.182952  1451.87 
  283.90 12 04 40.90  860.00   23.46   12.31   49.58   -2.15    1.01    2.53  117.92    2.35     1443  120.380612   23.183000  1461.65 
  288.00 12 04 44.99  859.00   23.47   12.84   51.30   -0.85    1.15    1.43  143.54    1.81     1453  120.380560   23.183050  1471.59 
  291.99 12 04 48.98  858.00   23.47   12.48   50.10   -2.75    2.62    3.80  133.77    2.39     1463  120.380510   23.183090  1481.13 
  296.01 12 04 53.01  857.00   23.47   11.92   48.29   -1.17    1.78    2.13  146.82    2.81     1473  120.380470   23.183140  1490.43 
  300.36 12 04 57.35  856.00   23.47   11.45   46.80   -1.63    2.63    3.10  146.58    2.26     1483  120.380413   23.183184  1500.01 
  304.48 12 05 01.48  855.00   23.48   11.31   46.36   -1.53    1.67    2.27  137.99    2.32     1494  120.380345   23.183235  1509.81 
  308.44 12 05 05.44  854.00   23.51   10.71   44.48   -2.51    2.53    3.58  135.47    2.61     1504  120.380277   23.183289  1519.91 
  312.83 12 05 09.82  853.00   23.55    9.64   41.29   -1.90    1.86    2.69  137.11    3.01     1514  120.380202   23.183372  1530.27 
